SPECIES_NR,FAMILIE,GENUS,SOORT,SYST_NIV,STLYST90,FLORA_90,STATUS,UHOKN50,UHOKN80,HERKMST1,HERKMST2,HERKMST3,UFK_40,UFK_90,UHOKV50,UHOKV80,LV_DUUR,LV_VORM1,LV_VORM2,LV_VORM3,GR_VORM1,GR_VORM2,GR_VORM3,ANAT_BLD,GRN_BLD,VORM_BLD,HGT_MIN,HGT_MAX,HGT_EXTR,GESL_BLM,BLMKLEUR,VR_TYPE,VR_KLEUR,ZAADMORF,WRTLDIEP,KIEMTIJD,BGNBLOEI,ENDBLOEI,GRONDWTR,LICHTIND,TEMPTIND,CONTIIND,VOCHTIND,ZUURGIND,STIKSIND,ZOUT_IND,ZWAREIND,MAAI_IND,STRO_MIN,STRO_MAX,STRO_EXT,OECO_GRP,ECOL_GRP,TRANSGR,WESTHOFF,ELLENBRG,ECOTP_01,ECOTP_02,ECOTP_03,ECOTP_04,ECOTP_05,ECOTP_06,ECOTP_07,ECOTP_08,ECOTP_09,ECOTP_10,SG_VOCHT,SG_TROFIE,SG_ZUURG,SG_ZOUT,ECOTPAMP,GEBRUIK1,GEBRUIK2,GEBRUIK3,GEBRUIK4,WETT_BES,REDLIST1,REDLIST2,BESTUIV1,BESTUIV2,BESTUIV3,ZBESTUIV,PLG_LIGG,PLG_NORD,PLG_WEST,PLG_MIDD,PLG_OOST,PLG_Z_O,PLG_ZUID,PLG_FRYK,PLG_AMER,PLG_EURO,PLG_AZIE,PLG_BRON,PLG_NOOT,PLG_MONT,R_SALINIT,R_ALKALIN,R_DOM_ANIO,R_CARBOGEH,R_TROFIEGR,IVERSEN,SKLEROTYP,SOCIO_HDB,SOCIO_ISZ,HOOFD_ISZ,OVERSPOEL,MAAI_IBN,TYPE,SOCSRTGRP1,SOCSRTGRP2,SOCSRTGRP3,SOC_GRP_ND,SOC_GRP_DG,RL2000LANG,RL2000KORT,RL2000_ZK,RL2000_TK,FF_WET,WW_C_N,WW_CA,WW_CL,WW_GHG,WW_GLG,WW_GVG,WW_K,WW_MG,WW_NH4,WW_NO3,WW_NTOT,WW_PH_H2O,WW_PO4,WW_PTOT,WW_VOCHT
306,33,2,13,2,1,1,1,1541,1560,1,,,9,9,,,1,T,,,65,,,43,W,lw,15,120,,C,V,32,o,1,44,12,7,13,A,,,,4,,7,0,0,,9,9,9,15,301,0,12,33000,P68,P48,,,,,,,,,4,5,0,1,1,99,,,,0,,,W,,,,c,4,4,4,4,4,4,E,.,*,*,235,E,al,,,,,,,,,,,,3,H,A30,,,Pb,P,,,,,,12.3274,866.852,31.2275,40.7174,99.5682,78.1222,130.249,75.5161,2.69739,7.03211,1361.95,6.64403,3.52,458.983,12.9047
307,33,2,2,2,1,1,1,75,29,1,,,4,1,,,6,H,,,64,,,40,W,ro,15,60,,C,V,32,o,1,,01/02,5,8,A,8,,2,5,,9,0,0,,9,9,9,17,403,0,17Aa02,33000,P48,,,,,,,,,,3,5,0,1,1,6,,,,0,,1,W,,,,s,+,3,4,1,2,2,A,.,*,.,123,EM,al,,,,,,,,,,,,,H,R31AB,,,R,R,EB-13,EB,zzz,ttt,,,,,,,,,,,,,,,,
308,33,2,14,2,0,0,2,,,105,,,,,,,1,T,,,65,,,,S,ro,15,60,,C,O,32,r,1,,,6,8,A,,,,,,,,,,9,9,9,15,,0,12Ba,,,,,,,,,,,,,,,,,6,,,,0,,,I,,,,,,,,,,,,,,,,,mo,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
310,33,2,12,2,1,1,1,277,807,1,,,6,8,,,1,T,,,65,,,40,S,ha,30,90,,C,V,32,o,1,,12,7,9,A,7,7,7,6,,7,0,0,,9,9,9,15,311,0,12Ba01,33000,P48,P68,,,,,,,,,4,5,0,1,1,99,,,,0,,,W,,,,s,0,2,3,+,2,+,A,.,*,.,2,E,co,,,,,,,,,,,,3,H,P29AA03,,,Pb,P,,,,,,11.6644,1436.20,293.858,34.6440,90.9178,79.0213,244.550,111.517,2.81053,11.4623,1461.93,7.00508,3.76,536.257,14.1462
311,33,2,1,2,1,1,32,8,14,105,,,2,3,,,1,T,H,,64,,,,,lw,15,60,,C,V,32,r,1,,12,6,8,A,8,,8,4,7,8,0,0,,9,9,9,16,305,0,12Ba06,,P67,P63,,,,,,,,,5,2,5,1,1,6,,,,0,,,I,,,,m,+,1,2,3,3,+,A,.,*,*,23,CEH,co,,,,,,,,,,,,,H,R31BA01,,,R,R,,,,,,,,,,,,,,,,,,,,
312,33,2,8,2,1,1,1,201,576,1,,,6,7,,,1,T,,,65,,,40,S,ha,10,50,,C,V,32,o,1,13,12,6,13,D,8,6,7,6,,9,3,0,,9,9,9,22,311,0,11Ab,32120,P28,P48,,,,,,,,,2,5,0,1,1,99,,,,0,,,W,,,,s,1,3,4,4,4,+,E,*,*,*,1235,E,co,,,,,,,,,,,,3,H,P29AA03,,,Pb,P,,,,,,11.3609,2709.73,751.627,9.19773,58.3653,36.0667,314.781,183.689,3.09469,12.9032,3639.38,7.38877,1.63,750.501,25.6481
313,33,2,10,2,1,1,1,62,78,1,,,4,4,,,1,T,,,65,,,40,S,ha,30,90,,C,V,32,o,1,44,12,7,9,A,7,6,7,5,8,8,0,0,,9,9,9,15,301,3,12Aa,33000,P48,,,,,,,,,,3,5,0,1,1,99,,,,0,,3,W,,,,s,+,3,4,4,3,1,A,*,*,*,1235,EM,mo,,,,,,,,,,,,,H,R31BA01,,,R,R,,,,,,,,,,,,,,,,,,,,
314,33,2,11,2,1,1,1,109,48,1,,,5,4,,,1,T,,,65,,,40,S,ro,15,45,,C,V,32,o,1,,01,7,10,A,8,7,6,4,8,9,0,0,,9,9,9,16,311,0,12Ba01,33000,P68,P48,,,,,,,,,4,5,0,1,1,99,,,,0,,3,W,,,,s,+,3,4,1,3,3,A,.,*,*,235,EM,mo,,,,,,,,,,,,,H,R31AB01,,,R,R,,,,,,10.2880,,,,,,,,,,1040.66,7.36379,5.21,703.278,
315,33,2,5,2,1,1,1,463,983,1,,,7,8,,,1,T,,,65,,,30,S,ro,10,80,,C,V,32,o,1,33,12,7,9,A,6,6,4,6,,8,0,0,,9,9,9,11,301,0,12Aa04,33100,P48,,,,,,,,,,3,5,0,1,2,99,,,,0,,,W,,,,s,1,3,4,4,4,2,A,.,*,*,123,E,mo,,,,,,,,,,,,3,H,A30AB03,P29AA,,Pb,P,,,,,,12.5207,1265.96,173.158,28.0441,81.2088,53.9691,167.516,113.411,3.47800,10.5499,2247.34,6.68276,2.13,501.097,19.3778
316,33,2,6,2,1,1,1,526,1073,1,,,7,8,,,1,T,,,65,,,40,S,lw,15,100,,C,V,32,o,1,,12,7,13,D,8,,,6,,9,1,0,,9,9,9,22,311,2,11Ab02,33000,P28,bP20,P48,,,,,,,,2,5,0,2,2,99,,,,0,,,W,,,,s,1,3,4,4,3,1,A,*,*,*,235,X,sa,,,,,,,,,,,,2,H,P29AA,,,Pb,P,,,,,,11.8461,2070.15,1215.33,2.71450,57.5529,21.0525,249.872,194.702,3.81450,11.9882,3207.46,7.37357,1.29,596.230,27.4302
318,33,2,9,2,1,1,12,11,2,2,,,2,1,,,1,T,,,65,,,40,S,ro,15,30,,C,V,32,o,1,,12,7,9,A,7,7,4,4,7,9,0,0,,9,9,9,15,311,0,12Ba,33000,P48,,,,,,,,,,3,5,0,1,1,99,,,,0,+,1,W,,,,m,+,2,4,1,3,4,A,.,*,*,123,M,co,,,,,,,,,,,,,H,,,,,,EB-13,EB,zzz,ttt,,,,,,,,,,,,,,,,
319,113,27,1,2,1,1,1,1200,1091,1,,,8,8,,,6,H,,,65,,,45,W,ve,30,60,,D,A,32,o,1,44,23,5,8,A,7,,3,4,,3,0,0,6,9,9,9,51,613,3,25Ba,54200,G47,G67,,,,,,,,,4,3,0,1,1,99,,,,0,,,I*,,,Z,c,3,4,4,4,3,3,A,.,*,*,35,X,al,,,,,,,,,,,,6,H,G16B,,,Gk,Ga,,,,,,10.2474,1798.90,15.9520,32.9155,88.7407,44.4422,118.753,101.675,4.52247,3.56934,2193.23,6.78098,2.00,299.202,29.3541
320,113,26,2,2,1,1,37,185,539,109,210,,5,7,,,6,H,,,65,,,,,ve,30,60,,D,A+F,32,o,1,,12   ?,6,9,A,,,,,,,,,,9,9,9,15,305,,,,P48,,,,,,,,,,3,5,0,1,1,99,,,,0,,,ID,IH,,Z,s,0,4,4,3,4,4,A,.,*,.,6,D,mo,,,,,,,,,,,,,H,R31,,,R,R,,,,,,12.5896,,174.025,44.0001,102.961,,,72.3719,2.27607,9.70992,1259.24,6.81584,2.89,425.718,15.0930
321,113,25,1,2,1,1,1,533,540,1,,,7,7,,,1,T,,,65,,,43,S,ve,30,60,,D,F,32,o,1,,12,6,13,A,7,6,2,5,5,5,0,0,,9,9,9,13,302,0,12Aa01,33120,P47,,,,,,,,,,3,3,0,1,1,99,,,,0,,,I*,,,Z,c,1,4,3,1,1,4,A,.,*,.,3,E,sm,,,,,,,,,,,,3,H,A30BB01,,,Pb,P,,,,,,12.2442,789.689,21.5432,42.2911,103.291,75.1900,112.747,64.0312,2.49822,4.54419,1141.47,6.24397,4.53,492.307,9.30136
322,48,2,1,2,1,1,1,59,48,1,,,4,4,,,6,H,,,64,,,23,S,ro,5,15,,C,F,43,o,1,,12,3,5,F,4,4,5,8,7,5,0,0,,9,9,9,91,506,0,26Aa04,84330,H27br,,,,,,,,,,1,3,0,1,1,99,,,,0,,3,I,,,,c,3,2,4,4,2,+,A,*,*,*,135,HM,al,,,,,,,,,,,,2,H,M07AA,,,Mp,Gm,,,,,,18.5319,1654.79,28.0100,48.1689,105.213,49.9670,122.482,186.197,9.74367,43.2200,4601.52,5.33432,0.18,571.920,39.3238
323,48,2,2,2,1,1,1,42,44,1,,,4,4,,,6,H,C,,61,,,23,W,ro,5,10,,C,F:V,43,o,1,,13/21,4,5,W,6,5,2,9,5,5,0,0,,9,9,9,91,506,0,26Aa'',16110,H27br,,,,,,,,,,1,3,0,1,1,99,,,,0,,4,I,,,,s,0,4,2,+,0,0,A,.,*,.,13,HM,mo,,,,,,,,,,,,,H,M07AA02,,,Mp,Gm,,,,,,18.7336,1393.44,26.9258,49.4803,107.330,47.6850,107.693,171.485,10.1404,38.8916,4334.13,5.21146,0.16,586.532,35.6578
324,90,1,1,2,1,1,1,172,19,1,,,5,2,,,1,T,,,65,,,20,S,lc,2,15,,C,F,43,o,1,,22,7,10,V,9,7,2,8,3,2,1,0,,9,9,9,23,308,0,10Aa01,31110,P22,,,,,,,,,,1,1,3,1,1,99,,,,0,+,1,I,,,Z,s,0,2,1,0,1,1,A,.,*,.,3,M,mo,,,,,,,,,,,,,H,P28AA01,,,Pn,P,BE-14,BE,zz,ttt,,13.7379,3422.31,1435.77,-31.972,24.9905,-22.851,152.894,341.338,5.61728,1.76863,2867.01,6.12466,0.45,297.217,34.1720
325,113,46,1,2,1,1,14,356,534,1,,,6,6,,,6,H,,,65,,,50,S,ve,15,120,,C,C,32,o,1,,12   ?,7,8,A,9,6,5,4,8,5,0,0,4,9,9,9,51,612,0,16Aa02,33420,G47kr,,,,,,,,,,3,3,0,1,1,6,15,16,27,0,,,IH,,,Z,c,2,4,4,4,4,4,A,.,*,*,35,E,mo,,,,,,,,,,,,4,H,G16BB01,,,Gk,Ga,,,,,,10.3046,1894.54,19.3347,35.0538,90.7216,53.9276,151.492,106.992,3.91309,6.44975,2007.69,6.94916,2.98,360.405,25.3630
326,83,27,1,2,1,1,1,387,472,1,,,6,7,,,6,B,,,65,,,20,S,vm,60,120,200,C,A,41,o,1,,22,6,8,W,7,6,7,9,5,5,0,0,3,1,2,0,43,503,0,19Ac,15140,V16zt,,,,,,,,,,1,3,5,1,1,99,,,,0,,,ID,IH,,,s,3,2,4,4,2,+,A,.,*,*,135,X,mo,4,4,1,,,,,,,,,3,H,M08B,,,Mp,Gm,,,,,,15.0528,7246.37,515.422,-29.386,8.45402,-8.1505,336.323,795.009,13.7099,44.8725,9616.01,5.95144,0.48,1580.56,52.4998
327,78,1,1,2,1,1,1,1,1,1,,,1,1,,,6,G,,,65,,,30,S,lw,5,30,,C,A/R,32,o,,,21,7,8,F,4,4,4,7,5,5,0,0,,9,9,9,91,908,0,38Aa,84300,H47,H27br,,,,,,,,,2,3,0,1,1,99,,,,0,,4,ID,,,Z,v,2,1,4,3,1,0,A,*,*,*,135,HM,sa,,,,,,,,,,,,,H,B43A,,,B,B,GE-1,GE,zzz,0/+,,,,,,,,,,,,,,,,
328,78,1,2,8,1,1,1,3,1,1,,,1,1,,,6,G,,,65,,,30,S,lw,15,40,,C,A-R,32,o,,,12   ?,6,7,F,4,5,2,7,7,6,0,0,,9,9,9,91,908,0,38Aa01,84330,H47,,,,,,,,,,3,3,0,1,1,99,,,,0,,4,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,GE-1,GE,zzz,0/+,,,,,,,,,,,,,,,,
329,78,1,3,2,1,1,1,178,275,1,,,5,6,,,6,G,,,65,,,30,S,lw,20,70,,C,A-R,32,o,1,11,13,6,9,V,4,5,3,6,7,7,0,0,,9,9,9,91,907,0,38Aa,84300,H47,,,,,,,,,,3,3,0,1,1,99,,,,0,,,ID,,,Z,s,+,4,4,3,3,2,A,.,*,*,135,X,mo,,,,,,M,M,O,2,B,I,3,H,B43A,,,B,B,,,,,,19.1356,707.188,20.8297,73.2330,132.905,94.1367,83.9595,97.9035,8.67034,41.5399,2682.96,5.24318,0.17,500.670,24.2874
330,113,40,4,2,1,1,1,15,10,1,,,3,2,,,6,H,,,63,,,54,S,ve,5,10,30,C,P:R,32,o,8,24,32,7,9,A,9,5,4,3,8,2,0,0,3,9,9,9,63,608,0,21Aa01,53213,G43,,,,,,,,,,3,1,5,1,1,99,,,,0,,1,IH,IL,,Z,m,0,2,3,0,1,1,A,.,*,.,3,BM,al,,,,,,,,,,,,3,H,G15AA01,,,Gk,Gf,EB-13,EB,zzz,ttt,,8.79780,1029.48,8.60738,61.3858,108.617,41.0988,68.8309,73.3885,5.40982,3.05447,1379.65,7.20667,1.34,197.927,25.9131
331,113,40,8,2,1,1,1,1646,1616,1,,,9,9,,,6,G,,,64,,,45,S,ve,60,120,,B,P,32,o,8,55,13,6,9,A,8,5,,,,7,1,0,5,9,9,9,17,305,,,30000,R48,P48,bR40,R68,P68,bR60,,,,,4,5,0,2,2,30,,,,0,,,I*,,,Z,c,3,4,4,4,4,4,A,.,*,*,3,BE,sa,,,,,,,,P,6,G,I,5,H,R31,A30A,,R,R,,,,,,11.3945,1388.35,370.974,29.7081,87.7717,49.6169,177.530,121.008,4.23972,10.2562,1927.86,6.84381,1.69,337.410,22.9359
332,113,40,5,2,1,1,1,335,224,1,,,6,5,,,6,H,,,65,,,24,S,lw,20,50,100,C,P:R,32,o,8,,23/32,6,7,W,7,7,1,8,4,2,0,0,,9,9,9,73,616,0,25Ac01,54110,G22,,,,,,,,,,1,1,3,1,1,99,,,,1,+,2,I2,,,Z,s,0,3,0,0,0,0,A,.,*,.,6,M,co,,,,,,,,,,,,3,H,G16AA01,,,Gm,Gm,KW-15,KW,z,ttt,2,15.2320,2422.36,20.3431,-17.735,38.6749,0.44241,92.5238,241.686,7.75082,1.06157,6646.34,5.28476,0.27,341.906,47.0354
333,113,40,3,2,1,1,1,2,1,1,,,1,1,,,2,H,,,65,,,50,S,ve,60,120,,C,R:P,32,o,8,,32,7,8,A,8,,3,4,9,5,0,0,3,9,9,9,51,612,,,33410,G47kr,,,,,,,,,,3,3,0,1,1,99,,,,0,+,4,IH,IL,,Z,m,0,2,3,0,1,+,A,.,*,.,6,BM,sa,,,,,,,,,,,,3,H,Z17AA01,,,R,Z,GE-1,GE,zzz,0/+,,,,,,,,,,,,,,,,
334,113,40,1,2,1,1,1,28,30,1,,,3,3,,,6,H,,,65,,,32,S,ve,60,150,,C,A:F,32,o,8,55,01,6,9,W,6,,3,7,8,5,0,0,5,9,9,9,52,614,0,25A,54150,R27,H27,G27,,,,,,,,1,3,0,1,1,99,,,,0,+,4,IH,IL,,Z,m,1,1,4,3,1,+,A,.,*,*,3,M,sa,,,,,,,,,,,,5,H,G16AB06,R32AA01,,Gm,Gm,,,,,,16.2115,4360.75,31.2958,21.3751,74.5260,39.6773,158.562,315.809,8.67041,38.4762,5222.26,5.85481,0.45,633.012,43.1635
335,113,40,7,2,1,1,1,1280,1269,1,,,9,9,,,2,H,,,64,,,42,S,ve,60,150,,C,P:R,32,o,8,24,12,6,9,V,7,5,3,8,4,3,0,0,3,9,9,9,52,615,0,25A,54100,G27,H27,G22,G23,,,,,,,1,2,4,1,2,99,,,,0,,,I2,,,Z,c,3,4,4,4,1,1,A,.,*,*,34,X,mo,,,,,,,,,,,,3,H,G16A,,,Gm,Gm,,,,,,15.7306,3209.51,183.279,4.71263,59.4491,18.4242,126.861,293.581,8.83156,5.82599,5380.15,5.52147,0.37,467.055,42.5276
336,113,40,2,2,1,1,1,1428,1554,1,,,9,9,,,2,H,,,65,,,40,S,ve,60,120,,C,P,32,o,8,,32/12,7,8,A,8,5,3,5,7,8,0,0,4,9,9,9,15,305,0,17A,35100,R48,G47,H63,H69,H48,G68,,,,,4,0,5,1,1,99,,,,0,,,IH,IL,,Z,c,2,4,4,4,4,4,A,.,*,*,3,E,mo,,,,,,,,,,,,4,H,R31,S37AC,,R,R,,,,,,12.8301,650.460,407.586,49.3823,109.583,59.3371,88.3976,86.7296,4.23515,11.6797,1146.56,6.98678,1.49,227.351,16.6939
337,131,5,1,2,1,1,1,123,104,1,,,5,5,,,6,H,B,,52,,,25,W,ly,90,180,,C,O,32,o,1,33,22,6,7,W,9,6,3,10,9,3,0,0,,1,1,0,43,703,0,19Ca01,15140,R27,V16,,,,,,,,,1,3,5,1,1,99,,,,0,,3,W,,,,s,+,3,2,1,2,3,E,*,*,*,134,KM,sm,3,3,4,1,,,,,,,,2,H,M08BD01,,,Mp,Gm,KW-7,KW,z,t,,16.9593,3862.23,414.243,-47.393,-12.738,-31.237,151.490,765.520,12.1333,5.41078,6705.41,5.30413,0.19,1349.78,42.4369
338,36,3,1,2,1,1,38,110,517,301,,,5,7,,,1,T,,,64,,,,S,ro,10,20,,C,A,43,o,10,,42/12,4,6,A,6,6,4,5,7,7,0,0,,9,9,9,82,405,0,12Aa'',,H69,H63,,,,,,,,,5,0,5,1,1,6,,,,0,,,ID,K,,Z,b,0,2,1,0,0,0,A,*,.,.,2,X,co,,,,,,,,,,,,5,H,R33AA01,,,R,R,,,,,,13.2855,274.332,19.2988,79.6152,142.891,90.7944,49.1398,45.9488,3.54621,13.6494,718.343,7.16737,1.10,157.134,10.1589
339,40,10,1,2,1,1,1,121,144,1,,,5,5,,,7,P,L,,31,,,40,S,ro,150,500,,C,A:V,32,o,8,,13,6,8,A,7,6,3,5,7,7,0,0,,9,9,9,84,804,3,34Ab03,84100,H43,H47kr,,,,,,,,,3,2,5,1,2,99,,,,0,,,I1,,,,m,0,3,3,0,3,3,A,.,*,.,12,X,sa,,,,,,,,,,,,2,H,S37A,,,B,B,,,,,,17.0314,617.435,16.3070,85.8913,134.702,91.6328,81.2405,83.7695,6.52139,35.2591,1878.13,6.42569,0.42,362.201,20.9780
340,40,10,2,2,1,1,37,3,2,105,202,,1,1,,,7,P,L,,31,,,,S,vs,150,600,,C,P,32,o,1,,,6,8,A,,,,,,,,,,9,9,9,84,806,0,34Ab03,,H47kr,,,,,,,,,,3,3,0,1,1,99,,,,0,+,4,I,,,,b,0,0,+,0,1,1,A,.,*,.,2,M,co,,,,,,,,,,,,,H,B43AB01,,,B,B,,,,,,,,,,,,,,,,,,,,
341,44,24,4,4,1,1,1,105,67,1,,,5,4,,,2+6,H,,,65,,,20,W,ro,10,30,,C,A,43,o,1,,21,5,6,Z,8,5,1,8,7,7,8,0,,9,9,9,32,203,0,24Aa,26100,zG40,,,,,,,,,,3,0,0,5,1,99,,,,0,+,3,IC,ID,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,5,H,G26A,,,Gp,Gp,KW-6,KW,zz,t,,9.56262,,,,,,,,,,1013.13,8.47391,,133.358,43.6773
342,44,24,1,2,1,1,1,130,159,1,,,5,6,,,8,T,,,65,,,,,ro,5,25,,C,A,43,o,1,,32,4,6,A,9,6,3,8,8,5,4,0,,9,9,9,33,205,8,23Aa01,,bP60,bP40,G63,,,,,,,,4,1,5,2,2,99,,,,0,,,I,,,Z,c,+,4,3,0,0,+,A,.,*,.,3,AG,pl,,,,,,,,,,,,5,H,P27AA01,,,Pn,P,,,,,,8.98665,152.262,805.447,91.5393,136.227,61.8789,12.1638,17.2033,2.49749,2.92408,408.253,7.47183,2.37,79.0937,7.09322
343,44,24,3,4,1,1,1,159,101,1,,,5,4,,,2+6,H,,,65,,,,,ro,10,40,,C,A,43,o,1,,12,5,6,W,8,6,,7,7,6,2,0,,9,9,9,43,504,,,,bR20,,,,,,,,,,1,0,0,3,2,16,,,,0,,3,IC,ID,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,5,H,R32BA03,,,,,KW-7,KW,z,t,,10.4829,3098.12,1866.43,9.16752,63.8840,28.4799,344.647,334.932,4.15338,11.8239,2759.46,7.85217,2.02,478.824,35.9816
344,132,11,1,2,1,1,1,17,5,1,,,3,1,,,6,G,,,65,,,40,S,lc,6,30,,C,F-V,43,o,11,,,5,6,A,8,,,4,4,2,0,0,4,9,9,9,73,617,3,30Aa,51100,G42,,,,,,,,,,3,1,3,1,1,99,,,,1,,1,I1,,,,c,4,3,3,3,2,+,A,*,*,*,135,HM,al,,,,,,,,,,,,4,H,G15AA01,,,Gk,Gf,BE-9,BE,zzz,tt,2,,,,,,,,,,,,,,,
345,121,3,1,2,1,1,1,41,25,1,,,4,3,,,6,G,,,66,,,40,S,lc,8,25,40,C,P-A,43,o,1,23,12,9,11,V,6,5,2,6,7,,0,0,5,9,9,9,52,610,0,25,54000,H47kr,G47kr,,,,,,,,,3,3,0,1,1,16,,,,1,+,2,I2,,,Z,m,0,3,3,+,2,+,A,.,*,.,1,IM,mo,,,,,,,,,,,,5,H,G16AB06,B43A,,Gm,Gm,BE-9,BE,zzz,tt,2,14.2548,729.361,19.0165,83.6652,129.776,91.8845,86.8495,93.2643,6.79557,41.1253,2265.28,5.87536,0.43,389.366,25.4762
346,50,9,1,2,1,1,1,745,697,1,,,8,7,,,6,B,H,,64,,,20,W,vs,30,90,,C,R,32,o,1,22,13/22,6,7,W,8,,,9,3,2,0,0,3,1,1,0,71,701,0,27,17000,V12,V15,G22,G27,,,,,,,1,2,3,1,1,99,,,,0,,,ID,IH,,,c,4,3,4,4,1,0,A,*,*,*,135,X,sa,2,2,3,2,,,,,,,,3,H,M09,,,Mn,Gm,GE-12,GE,a,tt,,16.1753,4755.84,223.313,-35.970,-0.6027,-14.432,176.048,709.972,12.0463,3.36202,7543.51,5.35883,0.21,1310.36,48.2282
347,83,23,1,2,1,1,1,229,106,1,,,6,5,,,2,H,,,65,,,40,S,ve,60,180,250,C,A,41,o,1,,32,6,13,A,8,6,5,6,,8,0,0,,9,9,9,17,403,0,17A,35110,R47,,,,,,,,,,3,3,0,1,1,16,,,,0,,,I,,,Z,s,+,4,4,4,4,4,A,.,*,*,13,E,sm,,,,,,,,,,,,2,H,R31,,,R,R,,,,,,14.4896,,20.9976,71.0787,125.174,113.616,,75.5296,4.14243,23.3181,1651.76,6.87557,,337.338,18.3510
348,44,35,1,2,0,1,2,,,111,,,,,,,1+8,T,,,65,,,54,W,ro,15,60,,C,A,43,o,1,,12,5,7,A,7,6,5,3,9,4,0,0,,9,9,9,12,,,,34110,,,,,,,,,,,,,,,,99,,,,0,,,I,,,,,,,,,,,,,,,,,sm,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
349,121,12,1,2,1,1,17,281,486,1,,,6,7,,,6,G,,,63,,,40,S,lw,15,30,,C,A,51,r,4,13,12,5,6,A,5,,3,4,,4,0,0,,9,9,9,95,904,0,38,0,H62,H42,H43,,,,,,,,4,1,4,1,1,16,23,,,0,,,ID,IH,,Z,c,2,3,4,4,3,1,A,.,*,*,34,X,sa,,,,,,,,,,,,3,H,B43A,Z18AA01,,B,Z,,,,,,22.4282,121.992,16.5705,101.170,169.946,91.2263,36.1454,31.0291,13.4122,15.5857,1934.15,4.14503,0.19,416.221,15.1319
350,96,2,2,2,1,1,1,949,1153,1,,,8,8,,,6,G,H,L,31,61,,40,S,lw,20,100,,C,A/R,43,o,1,55,32,6,13,A,7,6,,4,7,,0,0,4,9,9,9,15,305,0,12Ba08,36110,P47,P48,P67,P68,,,,,,,4,4,0,1,1,99,,,,0,,,ID,IH,,Z,c,2,4,4,4,4,4,A,.,*,*,135,E,mo,,,,,,,,,,,,4,H,A30AA01,R31CA,,R,R,,,,,,9.73850,874.765,20.6123,47.5985,105.470,70.3944,86.9261,71.8409,3.29095,6.29890,1192.87,6.95280,2.73,215.988,18.0177
351,96,2,1,2,0,1,,1,1,,,,,,,,6,H,,,61,,,,S,lc,5,60,,C,R/A,43,o,,,,6,8,A,,,,,,,,,,9,9,9,51,611,,,,,,,,,,,,,,,,,,,99,,,,0,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
352,132,18,1,2,1,1,1,1,0,2,,,1,0,,,6,G,S,,41,,,40,S,sc,7,30,,C,A,43,o,11,,,5,6,A,4,,7,5,3,,0,0,,9,9,9,95,904,,,73100,H42,,,,,,,,,,3,1,3,1,,99,,,,1,+,0,ID,IH,,Z,v,4,1,3,3,1,+,A,*,*,*,135,HKLM,al,,,,,,,,,,,,,H,,,,,,VN-17,VN,x,tttt,2,,,,,,,,,,,,,,,
353,33,8,1,2,1,1,6,43,128,103,,,4,5,,,1,T,,,65,,,,S,ly,10,60,,C,O,32,o,9,,12,7,8,A,8,7,5,3,7,6,0,0,,9,9,9,16,306,0,12Ba03,,P67,P68,,,,,,,,,5,4,0,1,1,99,,,,0,,,I,W,,,s,0,+,+,0,0,+,A,.,*,.,2,E,co,,,,,,,,,,,,3,H,R31AA01,,,R,R,,,,,,8.91899,689.345,28.5330,43.7330,102.641,65.4813,107.884,72.2903,2.08180,3.97872,705.014,7.41477,3.83,185.651,10.5006
354,33,8,2,2,1,1,6,20,5,3,104,,2,0,,,1,T,,,65,,,,S,ly,15,70,,C,O,32,o,9,22,,8,9,A,9,6,6,4,8,5,0,0,,9,9,9,16,306,0,12Ba03,,P67,,,,,,,,,,5,3,0,1,,99,,,,0,+,0,,,,,v,0,0,+,2,2,0,A,.,*,.,2,ELM,pl,,,,,,,,,,,,,H,,,,,,VN-17,VN,x,tttt,,,,,,,,,,,,,,,,
355,81,1,3,2,1,1,17,,,1,,,6,7,205,515,7,P,,,73,,,40,S,lw,90,280,,C,A,52,n,4,,53,6,6,A,7,5,4,5,7,,0,0,2,9,9,9,84,8,0,34A,84100,H43,H47kr,,,,,,,,,3,2,5,1,1,99,,,,0,,,I,,,Z,s,0,3,4,2,3,3,A,.,*,.,13,B,mo,,,,,,,,,,,,2,H,S37A,B43A,,B,B,,,,,,18.4559,544.889,19.0577,77.7230,135.544,91.5671,76.1234,80.6560,7.66120,30.5680,2157.92,5.80583,0.25,398.733,22.1523
356,81,1,1,2,1,1,1,4,2,1,,,2,1,,,6,H,,,65,,,,,ro,5,30,,C,A,52,r,4,13,13,5,6,A,5,4,3,7,2,2,0,0,,9,9,9,95,902,0,37Aa01,,H41,,,,,,,,,,3,1,1,1,1,99,,,,0,+,1,ID,IH,,,m,3,1,1,0,0,0,A,*,*,*,134,M,mo,,,,,,,,,,,,,H,B42AA,,,B,B,EB-13,EB,zzz,ttt,,,,,,,,,,,,,,,,
